customerid,churn,customer_tenure,account_contract,account_charges_monthly,account_charges_total,internet_internetservice,internet_onlinesecurity,internet_techsupport,internet_deviceprotection,cuentas_diarias
0042-RLHYP,0,69,Two year,19.7,1396.9,No,0,0,0,0.66
0048-LUMLS,0,37,One year,91.2,3247.55,Fiber optic,0,0,0,3.04
0048-PIHNL,0,49,One year,20.45,900.9,No,0,0,0,0.68
0052-DCKON,0,66,One year,115.8,7942.15,Fiber optic,1,1,1,3.86
0052-YNYOT,0,67,One year,20.55,1343.4,No,0,0,0,0.68
0056-EPFBG,0,20,Two year,39.4,825.4,DSL,1,1,1,1.31
0057-QBUQH,0,43,Two year,25.1,1070.15,No,0,0,0,0.84
0058-EVZWM,0,55,Month-to-month,89.8,4959.6,Fiber optic,1,0,0,2.99
0060-FUALY,0,59,Month-to-month,94.75,5597.65,Fiber optic,1,0,0,3.16
0064-SUDOG,0,12,Two year,20.3,224.5,No,0,0,0,0.68
0064-YIJGF,0,27,Month-to-month,75.75,1929.0,Fiber optic,0,0,0,2.52
0067-DKWBL,1,2,Month-to-month,49.25,91.1,DSL,1,0,0,1.64
0068-FIGTF,0,27,One year,78.2,2078.95,DSL,0,1,1,2.61
0071-NDAFP,0,25,Two year,25.5,630.6,No,0,0,0,0.85
0074-HDKDG,0,25,One year,61.6,1611.0,DSL,1,0,1,2.05
0076-LVEPS,0,29,Month-to-month,45.0,1242.45,DSL,1,1,1,1.5
0078-XZMHT,0,72,Two year,85.15,6316.2,DSL,0,1,1,2.84
0080-EMYVY,0,14,One year,51.45,727.85,DSL,0,0,0,1.72
0080-OROZO,0,35,One year,99.25,3532.0,Fiber optic,0,1,1,3.31
0082-LDZUE,0,1,Month-to-month,44.3,44.3,DSL,0,0,0,1.48
0082-OQIQY,0,29,Month-to-month,94.2,2607.6,Fiber optic,0,1,0,3.14
0083-PIVIK,0,64,One year,81.25,5567.55,DSL,1,1,1,2.71
0089-IIQKO,0,39,Month-to-month,99.95,3767.4,Fiber optic,0,1,0,3.33
0093-EXYQL,0,40,Month-to-month,91.55,3673.6,Fiber optic,0,0,0,3.05
0093-XWZFY,1,40,Month-to-month,104.5,4036.85,Fiber optic,0,0,1,3.48
0094-OIFMO,1,11,Month-to-month,95.0,1120.3,Fiber optic,0,0,0,3.17
0096-BXERS,0,6,Month-to-month,50.35,314.55,DSL,0,0,0,1.68
0096-FCPUF,0,30,Month-to-month,64.5,1888.45,DSL,1,0,0,2.15
0098-BOWSO,0,27,Month-to-month,19.4,529.8,No,0,0,0,0.65
0100-DUVFC,0,70,One year,104.8,7308.95,Fiber optic,0,0,1,3.49
0103-CSITQ,0,57,One year,109.4,6252.7,Fiber optic,0,1,1,3.65
0104-PPXDV,0,58,One year,50.3,2878.55,DSL,0,0,1,1.68
0106-GHRQR,0,16,Month-to-month,71.4,1212.1,DSL,0,0,1,2.38
0106-UGRDO,0,69,Two year,116.0,8182.85,Fiber optic,1,1,1,3.87
0107-WESLM,1,1,Month-to-month,19.85,19.85,No,0,0,0,0.66
0107-YHINA,1,1,Month-to-month,99.75,99.75,Fiber optic,0,0,1,3.32
0111-KLBQG,0,32,Month-to-month,93.95,2861.45,Fiber optic,0,0,0,3.13
0112-QAWRZ,0,16,Month-to-month,90.8,1442.2,Fiber optic,0,0,1,3.03
0112-QWPNC,1,49,One year,84.35,4059.35,DSL,1,1,1,2.81
0114-IGABW,0,71,Two year,58.25,4145.9,DSL,0,1,1,1.94
0114-PEGZZ,0,33,Month-to-month,107.55,3645.5,Fiber optic,0,0,1,3.58
0114-RSRRW,0,10,Month-to-month,19.95,187.75,No,0,0,0,0.66
0115-TFERT,1,21,Month-to-month,111.2,2317.1,Fiber optic,0,1,1,3.71
0117-LFRMW,1,37,Month-to-month,40.2,1448.8,DSL,1,0,1,1.34
0118-JPNOY,0,26,Month-to-month,85.8,2193.65,Fiber optic,1,0,0,2.86
0121-SNYRK,0,50,One year,35.4,1748.9,DSL,1,1,0,1.18
0122-OAHPZ,1,7,Month-to-month,73.85,511.25,Fiber optic,0,0,0,2.46
0123-CRBRT,0,61,Two year,88.1,5526.75,DSL,1,1,1,2.94
0125-LZQXK,1,15,Month-to-month,101.35,1553.95,Fiber optic,0,1,1,3.38
0128-MKWSG,0,26,Month-to-month,45.8,1147.0,DSL,1,1,0,1.53
0129-KPTWJ,0,72,Month-to-month,94.65,6747.35,Fiber optic,0,0,1,3.16
0129-QMPDR,0,44,One year,20.5,865.05,No,0,0,0,0.68
0130-SXOUN,0,66,Month-to-month,89.4,5976.9,Fiber optic,0,0,0,2.98
0133-BMFZO,1,2,Month-to-month,86.25,181.65,Fiber optic,1,1,0,2.88
0134-XWXCE,0,44,One year,74.85,3268.05,DSL,0,1,1,2.49
0135-NMXAP,1,12,Month-to-month,89.75,1052.4,Fiber optic,0,0,0,2.99
0136-IFMYD,0,69,Two year,109.95,7634.25,Fiber optic,0,1,1,3.66
0137-OCGAB,1,1,Month-to-month,80.2,80.2,Fiber optic,0,0,0,2.67
0137-UDEUO,1,3,Month-to-month,19.85,63.75,No,0,0,0,0.66
0139-IVFJG,0,2,Month-to-month,90.35,190.5,Fiber optic,1,0,0,3.01
0141-YEAYS,0,27,Month-to-month,86.45,2401.05,Fiber optic,0,0,1,2.88
0142-GVYSN,0,26,Month-to-month,20.3,511.25,No,0,0,0,0.68
0147-ESWWR,0,39,Month-to-month,101.25,3949.15,Fiber optic,0,1,0,3.38
0148-DCDOS,1,25,Month-to-month,94.7,2362.1,Fiber optic,0,0,0,3.16
0151-ONTOV,1,1,Month-to-month,70.9,70.9,Fiber optic,0,0,0,2.36
0156-FVPTA,1,22,Month-to-month,54.2,1152.7,DSL,1,1,0,1.81
0164-APGRB,0,72,Two year,114.9,8496.7,Fiber optic,1,1,1,3.83
0164-XAIRP,0,24,Two year,19.55,470.2,No,0,0,0,0.65
0168-XZKBB,0,19,Month-to-month,86.85,1564.4,Fiber optic,0,0,0,2.9
0174-QRVVY,0,71,Two year,25.35,1847.55,No,0,0,0,0.85
0177-PXBAT,0,33,Month-to-month,109.9,3694.7,Fiber optic,1,1,1,3.66
0178-CIIKR,0,3,Month-to-month,19.95,58.0,No,0,0,0,0.66
0178-SZBHO,0,47,Month-to-month,87.2,4017.45,Fiber optic,0,0,0,2.91
0181-RITDD,0,62,Two year,108.15,6825.65,Fiber optic,1,1,1,3.6
0186-CAERR,0,71,One year,116.3,8309.55,Fiber optic,1,1,1,3.88
0187-QSXOE,0,7,Month-to-month,89.0,605.45,Fiber optic,0,0,0,2.97
0187-WZNAB,0,27,Month-to-month,74.4,1972.35,Fiber optic,1,0,0,2.48
0188-GWFLE,0,2,Month-to-month,20.05,33.7,No,0,0,0,0.67
0191-EQUUH,0,25,Two year,35.05,844.45,DSL,1,1,0,1.17
0191-ZHSKZ,0,30,Month-to-month,74.75,2111.3,DSL,1,0,0,2.49
0193-ESZXP,1,58,One year,105.5,6205.5,Fiber optic,1,1,0,3.52
0195-IESCP,1,10,Month-to-month,85.25,855.3,Fiber optic,0,0,0,2.84
0196-JTUQI,0,9,Month-to-month,75.2,633.85,Fiber optic,0,0,0,2.51
0196-VULGZ,1,6,Month-to-month,84.35,474.9,Fiber optic,0,0,0,2.81
0197-PNKNK,0,69,One year,84.45,5848.6,Fiber optic,1,0,1,2.82
0201-MIBOL,0,66,Two year,102.4,6471.85,Fiber optic,1,0,0,3.41
0201-OAMXR,1,70,One year,115.55,8127.6,Fiber optic,1,1,1,3.85
0203-HHYIJ,1,25,One year,25.3,676.35,No,0,0,0,0.84
0206-OYVOC,0,46,Two year,19.25,864.2,No,0,0,0,0.64
0206-TBWLC,0,54,One year,114.65,6049.5,Fiber optic,1,1,1,3.82
0207-MDKNV,1,15,Month-to-month,105.1,1582.75,Fiber optic,1,1,1,3.5
0208-BPQEJ,0,12,Month-to-month,19.4,198.1,No,0,0,0,0.65
0212-ISBBF,0,22,Month-to-month,50.35,1098.85,DSL,0,0,0,1.68
0214-JHPFW,0,70,Two year,57.8,4039.3,DSL,0,1,1,1.93
0215-BQKGS,0,30,Month-to-month,84.3,2438.6,Fiber optic,1,0,1,2.81
0218-QNVAS,0,71,One year,100.55,7113.75,Fiber optic,0,0,0,3.35
0219-QAERP,0,30,One year,19.8,576.65,No,0,0,0,0.66
0219-YTZUE,1,4,Month-to-month,84.8,371.9,Fiber optic,0,0,1,2.83
0220-EBGCE,1,2,Month-to-month,85.85,167.3,Fiber optic,0,0,1,2.86
0221-NAUXK,0,10,One year,19.95,219.5,No,0,0,0,0.66
0221-WMXNQ,0,4,Month-to-month,75.35,273.4,Fiber optic,1,0,0,2.51
0222-CNVPT,0,52,Month-to-month,48.8,2555.05,DSL,1,0,0,1.63
0224-HJAPT,1,5,Month-to-month,47.15,223.15,DSL,0,0,0,1.57
0224-NIJLP,0,8,Two year,20.15,165.5,No,0,0,0,0.67
0224-RLWWD,0,2,Month-to-month,44.3,89.3,DSL,0,0,0,1.48
0225-ZORZP,0,3,Month-to-month,84.3,235.05,Fiber optic,0,0,0,2.81
0228-MAUWC,0,19,Month-to-month,59.55,1144.6,DSL,0,1,1,1.98
0229-LFJAF,0,72,Two year,69.65,4908.25,DSL,1,1,1,2.32
0230-UBYPQ,0,63,One year,36.1,2298.9,DSL,1,1,0,1.2
0230-WEQUW,0,66,Two year,56.6,3789.2,DSL,1,1,1,1.89
0231-LXVAP,1,1,Month-to-month,75.9,75.9,Fiber optic,0,1,0,2.53
0233-FTHAV,0,60,One year,79.2,4765.0,Fiber optic,0,0,1,2.64
0234-TEVTT,0,48,One year,45.0,2196.3,DSL,1,0,1,1.5
0235-KGSLC,1,1,Month-to-month,85.55,85.55,Fiber optic,0,0,1,2.85
0236-HFWSV,1,15,Month-to-month,93.35,1444.65,Fiber optic,0,0,0,3.11
0237-YFUTL,0,50,Month-to-month,109.65,5405.8,Fiber optic,1,1,0,3.66
0238-WHBIQ,0,72,Two year,89.7,6339.3,DSL,1,1,1,2.99
0239-OXEXL,0,46,Month-to-month,84.25,3847.6,Fiber optic,1,0,0,2.81
0244-LGNFY,0,72,Two year,92.65,6733.0,DSL,1,1,1,3.09
0247-SLUJI,0,1,Month-to-month,19.7,19.7,No,0,0,0,0.66
0248-IPDFW,0,1,Month-to-month,50.1,50.1,DSL,0,0,0,1.67
0248-PGHBZ,0,67,Two year,92.45,6140.85,Fiber optic,1,1,0,3.08
0253-ZTEOB,0,48,Two year,79.65,3870.3,DSL,0,1,0,2.66
0254-FNMCI,0,72,Two year,109.9,7624.2,Fiber optic,1,1,1,3.66
0254-KCJGT,0,52,One year,81.4,4354.45,DSL,1,1,1,2.71
0254-WWRKD,0,67,One year,50.55,3431.75,DSL,0,0,0,1.68
0256-LTHVJ,1,28,Month-to-month,81.05,2227.1,Fiber optic,0,0,0,2.7
0257-KXZGU,0,32,Month-to-month,62.45,2045.55,DSL,0,0,1,2.08
0257-ZESQC,1,27,Month-to-month,75.2,1929.35,Fiber optic,1,0,0,2.51
0258-NOKBL,0,3,Month-to-month,90.4,268.45,Fiber optic,0,0,1,3.01
0259-GBZSH,1,2,Month-to-month,85.65,181.5,Fiber optic,0,0,0,2.86
0260-ZDLGK,1,9,Month-to-month,72.9,651.4,DSL,0,1,1,2.43
0263-FJTQO,0,50,Two year,70.5,3486.65,DSL,1,1,0,2.35
0264-CNITK,0,71,Two year,20.1,1389.6,No,0,0,0,0.67
0265-EDXBD,1,32,Month-to-month,74.9,2303.35,Fiber optic,0,0,0,2.5
0265-PSUAE,0,16,Month-to-month,100.7,1522.7,Fiber optic,1,0,1,3.36
0266-CLZKZ,0,67,Two year,105.65,6717.9,Fiber optic,0,1,1,3.52
0266-GMEAO,0,72,Two year,114.3,8058.55,Fiber optic,1,1,1,3.81
0268-QKIWO,1,3,Month-to-month,19.75,58.85,No,0,0,0,0.66
0269-XFESX,0,23,One year,24.35,538.5,No,0,0,0,0.81
0270-THENM,0,72,Two year,69.85,5102.35,DSL,1,1,1,2.33
0274-JKUJR,0,7,Month-to-month,58.85,465.7,DSL,1,0,1,1.96
0277-BKSQP,0,8,Month-to-month,54.4,475.1,DSL,0,0,0,1.81
0277-ORXQS,0,66,Two year,50.55,3364.55,DSL,0,1,0,1.68
0278-YXOOG,1,5,Month-to-month,21.05,113.85,No,0,0,0,0.7
0280-XJGEX,1,49,Month-to-month,103.7,5036.3,Fiber optic,0,0,1,3.46
0281-CNTZX,0,63,Two year,19.95,1234.8,No,0,0,0,0.66
0282-NVSJS,0,12,Month-to-month,29.3,355.9,DSL,0,1,0,0.98
0285-INHLN,0,27,Month-to-month,54.75,1510.3,DSL,1,0,0,1.82
0289-IVARM,0,35,Month-to-month,60.55,1982.6,DSL,1,0,1,2.02
0292-WEGCH,0,54,Month-to-month,86.2,4524.05,DSL,0,1,1,2.87
0295-PPHDO,1,1,Month-to-month,95.45,95.45,Fiber optic,0,0,0,3.18
0295-QVKPB,0,5,Month-to-month,63.95,318.1,DSL,0,1,1,2.13
0297-RBCSG,0,19,One year,65.35,1231.85,DSL,0,1,0,2.18
0298-XACET,0,52,Two year,50.2,2554.0,DSL,0,1,1,1.67
0301-FIDRB,0,72,Two year,63.8,4684.3,DSL,1,1,1,2.13
0301-KOBTQ,0,32,Two year,20.05,614.45,No,0,0,0,0.67
0302-JOIVN,1,8,Month-to-month,101.15,842.9,Fiber optic,0,0,1,3.37
0303-UNCIP,0,41,One year,65.0,2531.8,DSL,0,0,1,2.17
0303-WMMRN,0,5,Month-to-month,19.25,86.05,No,0,0,0,0.64
0305-SQECB,0,11,One year,36.05,402.6,DSL,1,1,0,1.2
0306-JAELE,1,5,Month-to-month,96.1,453.4,Fiber optic,0,1,0,3.2
0307-BCOPK,0,16,One year,19.05,326.65,No,0,0,0,0.64
0308-GIQJT,0,71,One year,105.75,7382.85,Fiber optic,0,1,0,3.52
0308-IVGOK,0,11,One year,40.4,422.6,DSL,0,1,1,1.35
0310-MVLET,1,61,Month-to-month,99.15,6010.05,Fiber optic,0,0,0,3.3
0310-SUCIN,0,71,One year,84.8,6046.1,DSL,1,1,1,2.83
0310-VQXAM,0,9,Month-to-month,19.85,178.8,No,0,0,0,0.66
0311-QYWSS,0,6,Month-to-month,49.45,314.6,DSL,1,0,0,1.65
0311-UNPFF,1,26,Month-to-month,88.8,2274.35,Fiber optic,0,0,0,2.96
0314-TKOSI,0,6,Month-to-month,55.15,322.9,DSL,1,0,0,1.84
0315-LVCRK,0,11,Month-to-month,84.8,888.75,Fiber optic,0,0,1,2.83
0318-QUUOB,1,1,Month-to-month,80.55,80.55,Fiber optic,0,0,0,2.68
0318-ZOPWS,0,49,Two year,20.15,973.35,No,0,0,0,0.67
0319-QZTCO,0,3,Month-to-month,58.7,168.6,DSL,0,0,0,1.96
0320-DWVTU,0,53,Two year,99.5,5424.25,Fiber optic,1,1,1,3.32
0320-JDNQG,1,23,Month-to-month,99.85,2331.3,Fiber optic,1,1,0,3.33
0322-CHQRU,1,2,Month-to-month,45.35,89.5,DSL,0,0,0,1.51
0322-YINQP,1,1,Month-to-month,48.55,48.55,DSL,1,0,0,1.62
0323-XWWTN,0,3,Two year,26.4,121.25,No,0,0,0,0.88
0324-BRPCJ,1,68,Month-to-month,100.2,6851.65,Fiber optic,0,0,0,3.34
0325-XBFAC,1,8,Month-to-month,94.7,740.3,Fiber optic,0,0,1,3.16
0326-VDYXE,0,70,One year,97.65,6982.5,Fiber optic,0,0,1,3.26
0327-WFZSY,0,39,One year,100.0,3835.55,Fiber optic,0,0,1,3.33
0328-GRPMV,1,1,Month-to-month,70.1,70.1,Fiber optic,0,0,0,2.34
0329-GTIAJ,1,3,Month-to-month,97.9,315.3,Fiber optic,0,1,0,3.26
0330-BGYZE,0,60,One year,102.5,6157.6,Fiber optic,0,0,1,3.42
0330-IVZHA,1,5,Month-to-month,69.95,330.15,Fiber optic,0,0,0,2.33
0334-GDDSO,1,3,Month-to-month,81.35,233.7,Fiber optic,0,0,0,2.71
0334-ZFJSR,0,55,One year,66.05,3462.1,DSL,1,1,0,2.2
0336-KXKFK,0,72,Two year,61.2,4390.25,DSL,1,1,1,2.04
0336-PIKEI,0,72,Two year,74.4,5360.75,DSL,1,1,1,2.48
0337-CNPZE,1,41,Month-to-month,106.3,4443.45,Fiber optic,0,0,1,3.54
0343-QLUZP,0,60,Two year,39.6,2424.5,DSL,1,0,1,1.32
0345-HKJVM,1,6,Month-to-month,89.3,577.6,Fiber optic,0,0,0,2.98
0345-XMMUG,0,46,Two year,108.9,4854.3,Fiber optic,0,1,1,3.63
0347-UBKUZ,0,15,Month-to-month,19.9,320.45,No,0,0,0,0.66
0348-SDKOL,1,58,Month-to-month,102.1,5885.4,Fiber optic,0,1,1,3.4
0354-VXMJC,0,23,Two year,19.6,426.65,No,0,0,0,0.65
0354-WYROK,1,31,Month-to-month,98.9,2911.3,Fiber optic,0,1,1,3.3
0356-ERHVT,0,11,Month-to-month,45.9,521.9,DSL,0,0,0,1.53
0356-OBMAC,0,56,Two year,99.9,5706.3,Fiber optic,0,1,1,3.33
0357-NVCRI,0,25,Month-to-month,20.05,471.7,No,0,0,0,0.67
0361-HJRDX,0,68,Two year,64.35,4539.6,DSL,1,1,1,2.14
0362-RAOQO,0,40,Two year,19.65,830.25,No,0,0,0,0.65
0362-ZBZWJ,1,36,Month-to-month,84.9,3067.2,Fiber optic,0,0,0,2.83
0363-QJVFX,1,32,Month-to-month,108.15,3432.9,Fiber optic,1,1,0,3.6
0363-SVHYR,0,71,Two year,86.85,6263.8,DSL,1,1,1,2.9
0365-BZUWY,0,17,Month-to-month,102.55,1742.5,Fiber optic,0,0,1,3.42
0365-GXEZS,0,18,Month-to-month,78.2,1468.75,Fiber optic,0,1,1,2.61
0365-TRTPY,0,37,Month-to-month,91.2,3382.3,Fiber optic,1,0,1,3.04
0366-NQSHS,0,2,Month-to-month,19.35,46.35,No,0,0,0,0.64
0369-ZGOVK,0,28,One year,70.4,1992.2,Fiber optic,0,0,0,2.35
0373-AIVNJ,0,9,One year,39.55,373.0,DSL,1,0,1,1.32
0374-AACSZ,0,1,Month-to-month,50.15,50.15,DSL,1,0,0,1.67
0374-FIUCA,0,65,Two year,20.4,1414.45,No,0,0,0,0.68
0374-IOEGQ,0,3,Month-to-month,44.6,122.7,DSL,0,0,0,1.49
0375-HVGXO,1,1,Month-to-month,34.7,34.7,DSL,0,0,0,1.16
0376-OIWME,0,36,Month-to-month,93.6,3366.05,Fiber optic,1,0,0,3.12
0376-YMCJC,1,23,Month-to-month,90.6,1943.2,Fiber optic,0,1,0,3.02
0377-JBKKT,0,22,Month-to-month,57.95,1271.8,DSL,1,1,0,1.93
0378-CJKPV,0,72,Two year,112.1,7965.95,Fiber optic,1,1,1,3.74
0378-NHQXU,1,17,Month-to-month,88.25,1460.65,Fiber optic,0,0,1,2.94
0378-TOVMS,1,3,Month-to-month,85.8,272.2,Fiber optic,0,1,0,2.86
0378-XSZPU,1,58,One year,60.3,3563.8,DSL,1,0,1,2.01
0379-DJQHR,0,67,Two year,81.35,5398.6,DSL,1,0,1,2.71
0380-NEAVX,0,34,One year,99.85,3343.15,Fiber optic,0,0,1,3.33
0380-ZCSBI,0,10,Month-to-month,20.0,198.7,No,0,0,0,0.67
0383-CLDDA,0,69,Two year,85.35,5897.4,DSL,1,1,1,2.84
0384-LPITE,0,40,One year,62.05,2511.55,DSL,1,0,1,2.07
0384-RVBPI,0,20,Month-to-month,64.4,1398.6,DSL,1,0,1,2.15
0386-CWRGM,0,46,Two year,19.4,967.85,No,0,0,0,0.65
0388-EOPEX,1,2,Month-to-month,74.4,139.4,Fiber optic,1,0,0,2.48
0390-DCFDQ,1,1,Month-to-month,70.45,70.45,Fiber optic,0,0,0,2.35
0392-BZIUW,0,72,Two year,105.0,7589.8,Fiber optic,1,0,1,3.5
0394-YONDK,0,70,Two year,25.15,1790.15,No,0,0,0,0.84
0396-HUJBP,0,2,Month-to-month,19.3,44.4,No,0,0,0,0.64
0396-UKGAI,0,23,Month-to-month,55.3,1284.2,DSL,0,1,0,1.84
0396-YCHWO,0,36,Month-to-month,95.4,3474.2,Fiber optic,0,0,0,3.18
0397-GZBBC,1,59,Month-to-month,93.85,5574.75,Fiber optic,0,0,0,3.13
0397-ZXWQF,0,67,Two year,20.5,1430.95,No,0,0,0,0.68
0401-WDBXM,0,72,Two year,105.55,7542.25,Fiber optic,1,0,1,3.52
0402-CQAJN,1,37,Month-to-month,101.9,3545.35,Fiber optic,0,0,1,3.4
0402-OAMEN,0,72,Two year,24.45,1709.1,No,0,0,0,0.82
0404-AHASP,0,72,Two year,19.7,1421.9,No,0,0,0,0.66
0404-SWRVG,1,3,Month-to-month,74.4,229.55,Fiber optic,0,0,0,2.48
0406-BPDVR,1,54,One year,101.5,5373.1,Fiber optic,0,0,0,3.38
0407-BDJKB,1,60,Month-to-month,95.75,5742.9,Fiber optic,0,0,1,3.19
0409-WTMPL,0,58,One year,110.65,6526.65,Fiber optic,1,0,1,3.69
0410-IPFTY,0,31,Month-to-month,83.85,2674.15,Fiber optic,0,0,0,2.8
0411-EZJZE,0,3,Month-to-month,60.25,170.5,DSL,0,0,0,2.01
0412-UCCNP,0,55,Two year,59.2,3175.85,DSL,1,1,1,1.97
0415-MOSGF,1,1,Month-to-month,44.4,44.4,DSL,0,0,0,1.48
0419-YAAPX,0,49,Month-to-month,85.3,4297.95,Fiber optic,0,0,0,2.84
0420-BWTPW,1,8,Month-to-month,25.5,215.2,DSL,0,0,0,0.85
0420-HLGXF,0,39,Month-to-month,99.75,4036.0,Fiber optic,0,0,1,3.32
0420-TXVSG,0,66,Two year,66.1,4428.45,DSL,1,0,1,2.2
0422-OHQHQ,0,15,One year,20.55,295.95,No,0,0,0,0.68
0422-UXFAP,0,51,One year,98.85,4947.55,Fiber optic,0,0,1,3.3
0423-UDIJQ,0,9,Month-to-month,49.2,447.9,DSL,0,1,0,1.64
0426-TIRNE,1,1,Month-to-month,20.9,20.9,No,0,0,0,0.7
0428-AXXLJ,0,25,One year,19.5,516.3,No,0,0,0,0.65
0428-IKYCP,0,22,Month-to-month,87.0,1850.65,Fiber optic,0,0,1,2.9
0430-IHCDJ,0,15,Month-to-month,49.0,749.25,DSL,0,0,0,1.63
0431-APWVY,1,28,One year,90.1,2598.95,Fiber optic,0,0,0,3.0
0432-CAJZV,0,3,Month-to-month,90.7,237.65,Fiber optic,0,0,0,3.02
0434-CSFON,0,47,Month-to-month,100.5,4707.1,Fiber optic,0,0,1,3.35
0436-TWFFZ,0,67,Two year,85.25,5714.2,DSL,1,1,1,2.84
0439-IFYUN,0,18,Month-to-month,74.7,1294.6,Fiber optic,0,0,0,2.49
0440-EKDCF,0,62,Two year,60.15,3753.2,DSL,0,1,1,2.0
0440-MOGPM,0,41,One year,80.55,3263.9,DSL,0,0,1,2.68
0440-QEXBZ,0,44,Month-to-month,50.15,2139.1,DSL,0,0,0,1.67
0440-UEDAI,0,53,One year,94.45,5042.75,Fiber optic,0,1,1,3.15
0442-TDYUO,0,48,Two year,20.05,1036.0,No,0,0,0,0.67
0442-ZXKVS,0,54,One year,115.6,6431.05,Fiber optic,1,1,1,3.85
0447-BEMNG,1,48,Month-to-month,45.3,2145.0,DSL,1,0,1,1.51
0447-RXSGD,0,24,Month-to-month,99.65,2404.85,Fiber optic,0,0,0,3.32
0454-OKRCT,0,33,Two year,80.6,2651.1,Fiber optic,0,1,0,2.69
0455-ENTCR,0,66,Two year,85.25,5538.35,DSL,1,1,0,2.84
0455-XFASS,0,3,Month-to-month,69.55,200.2,Fiber optic,0,0,0,2.32
0458-HEUZG,0,13,Two year,35.4,450.4,DSL,0,1,1,1.18
0459-SPZHJ,0,63,Two year,83.5,5435.0,DSL,1,0,1,2.78
0461-CVKMU,1,23,Month-to-month,83.8,1900.25,Fiber optic,0,1,1,2.79
0463-TXOAK,0,52,Two year,25.6,1334.5,No,0,0,0,0.85
0463-WZZKO,0,3,Month-to-month,20.75,67.1,No,0,0,0,0.69
0463-ZSDNT,0,10,Month-to-month,56.75,503.25,DSL,0,0,0,1.89
0464-WJTKO,0,72,Two year,20.1,1460.85,No,0,0,0,0.67
0468-YRPXN,0,29,Month-to-month,98.8,2807.1,Fiber optic,0,1,1,3.29
0471-ARVMX,0,62,One year,104.85,6312.9,Fiber optic,1,0,1,3.49
0471-LVHGK,1,41,One year,73.0,3001.2,DSL,0,0,1,2.43
0475-RIJEP,1,43,Month-to-month,77.85,3365.85,Fiber optic,0,0,0,2.6
0479-HMSWA,0,26,Two year,105.45,2715.3,Fiber optic,0,1,1,3.52
0480-BIXDE,0,19,Month-to-month,96.8,1743.05,Fiber optic,0,0,1,3.23
0480-KYJVA,0,72,Two year,24.25,1784.5,No,0,0,0,0.81
0481-SUMCB,0,45,One year,102.15,4735.35,Fiber optic,0,0,1,3.4
0484-FFVBJ,0,32,One year,64.85,2010.95,DSL,0,0,0,2.16
0484-JPBRU,0,41,Month-to-month,25.25,996.45,No,0,0,0,0.84
0485-ZBSLN,0,65,Two year,24.75,1715.1,No,0,0,0,0.82
0486-HECZI,1,55,Month-to-month,96.75,5238.9,Fiber optic,1,0,0,3.22
